,0
0,-369.3006682607295
1,-336.6300408682624
2,-277.4385751109651
3,-185.8229177780114
4,-101.37561951034212
5,-42.349331248121814
6,-11.390801910580791
7,31.74707202874103
8,85.1378977911096
9,146.3485867070982
10,195.1506632733107
11,239.7788687308166
12,266.96095627639
13,302.4826314033067
14,343.81515126068535
15,375.55535388812103
16,403.3081418445037
17,433.2368791878558
18,445.19510894186925
19,452.88388789489215
20,449.5891791341805
21,455.51754125496194
22,463.4513788376237
23,468.30651239996564
24,466.95184255766617
25,458.98809139441187
26,457.43962640891834
27,462.39919982483224
28,463.2040760463161
29,458.6877847389179
30,459.5701316991724
31,472.9021595884826
32,489.12365936183113
33,507.9194080590558
34,517.434997936142
35,512.9700522111298
36,513.2205543701203
37,507.8537859339352
38,511.84039244631845
39,514.730459661109
40,515.811956282864
41,522.0428302350088
42,523.2942286383384
43,523.7477147403579
44,523.6829675827463
45,523.3296630353984
46,523.0079650356848
47,523.0250136630293
48,523.2746321872955
49,523.5958013879881
50,523.8421733407251
51,523.9063188178671
52,523.7689780022047
53,523.4457659946913
54,523.1562405689606
55,522.8173996487342
56,522.4796146563463
57,522.1856449704741
58,521.9641594143886
59,521.8047511524765
60,521.7764164478735
61,521.7883419787754
62,521.816431879234
63,521.8569208764984
64,521.8984590325292
65,521.9547525812177
66,521.9808081289455
67,522.0070021620845
68,522.0376738121128
69,522.0673527150414
70,522.1125285705017
71,522.1514469631568
72,522.1700802667813
73,522.1873785580301
74,522.2025890435057
75,522.2117691613948
76,522.2152675498147
77,522.210617407419
78,522.2039505957243
79,522.1909009890444
80,522.174170779465
81,522.1576671068067
82,522.1411793885692
83,522.1269367895608
84,522.1212509823583
85,522.1158953333809
86,522.1109337657248
87,522.1063801423539
88,522.1022058556682
89,522.0984910097505
90,522.0966354467978
91,522.0966107019754
92,522.0973009108144
93,522.099002268336
94,522.1012607199518
95,522.1043246158514
96,522.1060150948003
97,522.1076703400977
98,522.1104511818048
99,522.1128124731921
100,522.1150938794201
101,522.117209651368
102,522.1181345896053
103,522.1178612207688
104,522.1179632221952
105,522.1176743650697
106,522.116737350646
107,522.1093099404859
108,522.1128337595997
109,522.1140103465843
110,522.1134666245757
111,522.1065668257279
112,522.1116224280536
113,522.117890198565
114,522.108271713847
115,522.1122329744871
116,522.111825409891
117,522.1107517280983
118,522.1103350235346
119,522.1104231798934
120,522.1102323672944
121,522.1097092892661
122,522.1098756182633
123,522.1108005013085
124,522.1115363829351
125,522.1114032941223
126,522.1053764989257
127,522.1114735857329
128,522.1115621935606
129,522.1116697836309
130,522.1122393225689
131,522.1121897925327
132,522.1129368907759
133,522.112474525256
134,522.1295903908124
135,522.1172530977101
136,522.1161565689126
137,522.1091066021768
138,522.1155725974211
139,522.1141260630795
140,522.1130642145587
141,522.1124207261108
142,522.112380754295
143,522.111086796638
144,522.1124271115675
145,522.1104157485333
146,522.1114051372406
147,522.1120991540727
148,522.1106925865818
149,522.1098210244445
150,522.1102925743247
151,522.1100906855334
152,522.1122238516928
153,522.1061480227921
154,522.112338690254
155,522.1104632133118
156,522.1124095610519
157,522.112415693067
158,522.1124630058756
159,522.1121423603084
160,522.1037761467477
161,522.1122135430066
162,522.1106756647478
163,522.1118473348149
164,522.1121781526476
165,522.1120378788316
166,522.1234561160126
167,522.1153651907857
168,522.1153557380683
169,522.1137965907337
170,522.1069488371086
171,522.1131007872211
172,522.105379533265
173,522.1126470581719
174,522.1123692952332
175,522.1119359439381
176,522.1118607595533
177,522.1129217071245
